date	name	substitute	source
2026-01-01	신정	0	calendar-rule
2026-02-16	설날 연휴	0	calendar-rule
2026-02-17	설날	0	calendar-rule
2026-02-18	설날 연휴	0	calendar-rule
2026-03-01	삼일절	0	calendar-rule
2026-03-02	삼일절 대체공휴일	1	calendar-rule
2026-05-01	노동절	0	calendar-rule
2026-05-05	어린이날	0	calendar-rule
2026-05-24	부처님오신날	0	calendar-rule
2026-05-25	부처님오신날 대체공휴일	1	calendar-rule
2026-06-06	현충일	0	calendar-rule
2026-07-17	제헌절	0	calendar-rule
2026-08-15	광복절	0	calendar-rule
2026-08-17	광복절 대체공휴일	1	calendar-rule
2026-09-24	추석 연휴	0	calendar-rule
2026-09-25	추석	0	calendar-rule
2026-09-26	추석 연휴	0	calendar-rule
2026-10-03	개천절	0	calendar-rule
2026-10-05	개천절 대체공휴일	1	calendar-rule
2026-10-09	한글날	0	calendar-rule
2026-12-25	기독탄신일	0	calendar-rule
2027-01-01	신정	0	calendar-rule
2027-02-06	설날 연휴	0	calendar-rule
2027-02-07	설날	0	calendar-rule
2027-02-08	설날 연휴	0	calendar-rule
2027-02-09	설날 대체공휴일	1	calendar-rule
2027-03-01	삼일절	0	calendar-rule
2027-05-01	노동절	0	calendar-rule
2027-05-03	노동절 대체공휴일	1	calendar-rule
2027-05-05	어린이날	0	calendar-rule
2027-05-13	부처님오신날	0	calendar-rule
2027-06-06	현충일	0	calendar-rule
2027-07-17	제헌절	0	calendar-rule
2027-07-19	제헌절 대체공휴일	1	calendar-rule
2027-08-15	광복절	0	calendar-rule
2027-08-16	광복절 대체공휴일	1	calendar-rule
2027-09-14	추석 연휴	0	calendar-rule
2027-09-15	추석	0	calendar-rule
2027-09-16	추석 연휴	0	calendar-rule
2027-10-03	개천절	0	calendar-rule
2027-10-04	개천절 대체공휴일	1	calendar-rule
2027-10-09	한글날	0	calendar-rule
2027-10-11	한글날 대체공휴일	1	calendar-rule
2027-12-25	기독탄신일	0	calendar-rule
2027-12-27	기독탄신일 대체공휴일	1	calendar-rule
2028-01-01	신정	0	calendar-rule
2028-01-26	설날 연휴	0	calendar-rule
2028-01-27	설날	0	calendar-rule
2028-01-28	설날 연휴	0	calendar-rule
2028-03-01	삼일절	0	calendar-rule
2028-05-01	노동절	0	calendar-rule
2028-05-02	부처님오신날	0	calendar-rule
2028-05-05	어린이날	0	calendar-rule
2028-06-06	현충일	0	calendar-rule
2028-07-17	제헌절	0	calendar-rule
2028-08-15	광복절	0	calendar-rule
2028-10-02	추석 연휴	0	calendar-rule
2028-10-03	개천절·추석	0	calendar-rule
2028-10-04	추석 연휴	0	calendar-rule
2028-10-09	한글날	0	calendar-rule
2028-12-25	기독탄신일	0	calendar-rule
2029-01-01	신정	0	calendar-rule
2029-02-12	설날 연휴	0	calendar-rule
2029-02-13	설날	0	calendar-rule
2029-02-14	설날 연휴	0	calendar-rule
2029-03-01	삼일절	0	calendar-rule
2029-05-01	노동절	0	calendar-rule
2029-05-05	어린이날	0	calendar-rule
2029-05-07	어린이날 대체공휴일	1	calendar-rule
2029-05-20	부처님오신날	0	calendar-rule
2029-05-21	부처님오신날 대체공휴일	1	calendar-rule
2029-06-06	현충일	0	calendar-rule
2029-07-17	제헌절	0	calendar-rule
2029-08-15	광복절	0	calendar-rule
2029-09-21	추석 연휴	0	calendar-rule
2029-09-22	추석	0	calendar-rule
2029-09-23	추석 연휴	0	calendar-rule
2029-09-24	추석 대체공휴일	1	calendar-rule
2029-10-03	개천절	0	calendar-rule
2029-10-09	한글날	0	calendar-rule
2029-12-25	기독탄신일	0	calendar-rule
2030-01-01	신정	0	calendar-rule
2030-02-02	설날 연휴	0	calendar-rule
2030-02-03	설날	0	calendar-rule
2030-02-04	설날 연휴	0	calendar-rule
2030-02-05	설날 대체공휴일	1	calendar-rule
2030-03-01	삼일절	0	calendar-rule
2030-05-01	노동절	0	calendar-rule
2030-05-05	어린이날	0	calendar-rule
2030-05-06	어린이날 대체공휴일	1	calendar-rule
