station	from_line	to_line	distance_m	seconds	source
서울역	1호선	4호선	159.0	133	seoul-metro-2025-12-31
서울역	1호선	공항철도	309.0	258	seoul-metro-2025-12-31
서울역	1호선	경의중앙선	164.0	137	seoul-metro-2025-12-31
서울역	1호선	GTX-A(북부)	172.0	143	seoul-metro-2025-12-31
시청	1호선	2호선	101.0	84	seoul-metro-2025-12-31
종로3가	1호선	3호선	118.0	98	seoul-metro-2025-12-31
종로3가	1호선	5호선	312.0	260	seoul-metro-2025-12-31
동대문	1호선	4호선	194.0	162	seoul-metro-2025-12-31
동묘앞	1호선	6호선	96.0	80	seoul-metro-2025-12-31
신설동	1호선	2호선	159.0	133	seoul-metro-2025-12-31
신설동	1호선	우이신설선	129.0	108	seoul-metro-2025-12-31
청량리	1호선	경의중앙선	165.0	138	seoul-metro-2025-12-31
청량리	1호선	경춘선	203.0	169	seoul-metro-2025-12-31
청량리	1호선	수인분당선	180.0	150	seoul-metro-2025-12-31
시청	2호선	1호선	101.0	84	seoul-metro-2025-12-31
을지로3가	2호선	3호선	149.0	124	seoul-metro-2025-12-31
을지로4가	2호선	5호선	77.0	64	seoul-metro-2025-12-31
동대문역사문화공원	2호선	4호선	45.0	38	seoul-metro-2025-12-31
동대문역사문화공원	2호선	5호선	234.0	195	seoul-metro-2025-12-31
신당	2호선	6호선	242.0	202	seoul-metro-2025-12-31
왕십리	2호선	수인분당선	99.0	83	seoul-metro-2025-12-31
왕십리	2호선	5호선	86.0	72	seoul-metro-2025-12-31
왕십리	2호선	경의중앙선	50.0	42	seoul-metro-2025-12-31
성수	2호선	2호선	23.0	19	seoul-metro-2025-12-31
건대입구	2호선	7호선	77.0	64	seoul-metro-2025-12-31
잠실	2호선	8호선	190.0	158	seoul-metro-2025-12-31
종합운동장	2호선	9호선	94.0	78	seoul-metro-2025-12-31
선릉	2호선	수인분당선	81.0	68	seoul-metro-2025-12-31
강남	2호선	신분당선	214.0	178	seoul-metro-2025-12-31
교대	2호선	3호선	75.0	63	seoul-metro-2025-12-31
사당	2호선	4호선	74.0	62	seoul-metro-2025-12-31
신림	2호선	신림선	88.0	73	seoul-metro-2025-12-31
대림	2호선	7호선	276.0	230	seoul-metro-2025-12-31
신도림	2호선	1호선	81.0	68	seoul-metro-2025-12-31
신도림	2호선	2호선	81.0	68	seoul-metro-2025-12-31
영등포구청	2호선	5호선	110.0	92	seoul-metro-2025-12-31
당산	2호선	9호선	105.0	88	seoul-metro-2025-12-31
합정	2호선	6호선	82.0	68	seoul-metro-2025-12-31
홍대입구	2호선	공항철도	355.0	296	seoul-metro-2025-12-31
홍대입구	2호선	경의중앙선	305.0	254	seoul-metro-2025-12-31
충정로	2호선	5호선	212.0	177	seoul-metro-2025-12-31
신설동	2호선	1호선	159.0	133	seoul-metro-2025-12-31
신설동	2호선	우이신설선	273.0	228	seoul-metro-2025-12-31
종로3가	3호선	1호선	118.0	98	seoul-metro-2025-12-31
종로3가	3호선	5호선	117.0	98	seoul-metro-2025-12-31
을지로3가	3호선	2호선	149.0	124	seoul-metro-2025-12-31
교대	3호선	2호선	75.0	63	seoul-metro-2025-12-31
양재	3호선	신분당선	93.0	78	seoul-metro-2025-12-31
연신내	3호선	6호선	181.0	151	seoul-metro-2025-12-31
연신내	3호선	GTX-A(북부)	241.0	201	seoul-metro-2025-12-31
불광	3호선	6호선	100.0	83	seoul-metro-2025-12-31
충무로	3호선	4호선	17.0	14	seoul-metro-2025-12-31
약수	3호선	6호선	130.0	108	seoul-metro-2025-12-31
옥수	3호선	경의중앙선	155.0	129	seoul-metro-2025-12-31
신사	3호선	신분당선	77.0	64	seoul-metro-2025-12-31
고속터미널	3호선	7호선	169.0	141	seoul-metro-2025-12-31
고속터미널	3호선	9호선	155.0	129	seoul-metro-2025-12-31
도곡	3호선	수인분당선	78.0	65	seoul-metro-2025-12-31
수서	3호선	수인분당선	92.0	77	seoul-metro-2025-12-31
수서	3호선	GTX-A(남부)	276.0	230	seoul-metro-2025-12-31
가락시장	3호선	8호선	35.0	29	seoul-metro-2025-12-31
오금	3호선	5호선	65.0	54	seoul-metro-2025-12-31
서울역	4호선	1호선	159.0	133	seoul-metro-2025-12-31
서울역	4호선	공항철도	224.0	187	seoul-metro-2025-12-31
서울역	4호선	경의중앙선	323.0	269	seoul-metro-2025-12-31
서울역	4호선	GTX-A(북부)	264.0	220	seoul-metro-2025-12-31
동대문	4호선	1호선	194.0	162	seoul-metro-2025-12-31
동대문역사문화공원	4호선	2호선	45.0	38	seoul-metro-2025-12-31
동대문역사문화공원	4호선	5호선	107.0	89	seoul-metro-2025-12-31
사당	4호선	2호선	74.0	62	seoul-metro-2025-12-31
충무로	4호선	3호선	17.0	14	seoul-metro-2025-12-31
노원	4호선	7호선	278.0	232	seoul-metro-2025-12-31
창동	4호선	1호선	84.0	70	seoul-metro-2025-12-31
성신여대입구	4호선	우이신설선	7.0	6	seoul-metro-2025-12-31
이촌	4호선	경의중앙선	78.0	65	seoul-metro-2025-12-31
삼각지	4호선	6호선	155.0	129	seoul-metro-2025-12-31
동작	4호선	9호선	245.0	204	seoul-metro-2025-12-31
총신대입구(이수)	4호선	7호선	171.0	143	seoul-metro-2025-12-31
김포공항	5호선	공항철도	122.0	282	seoul-metro-2025-12-31
김포공항	5호선	9호선	106.0	88	seoul-metro-2025-12-31
김포공항	5호선	김포골드라인	200.0	167	seoul-metro-2025-12-31
김포공항	5호선	서해선	100.0	83	seoul-metro-2025-12-31
까치산	5호선	2호선	17.0	14	seoul-metro-2025-12-31
영등포구청	5호선	2호선	110.0	92	seoul-metro-2025-12-31
신길	5호선	1호선	242.0	202	seoul-metro-2025-12-31
여의도	5호선	9호선	68.0	57	seoul-metro-2025-12-31
공덕	5호선	6호선	73.0	61	seoul-metro-2025-12-31
공덕	5호선	공항철도	275.0	229	seoul-metro-2025-12-31
