station	from_line	to_line	distance_m	seconds	source
서울역	1호선	4호선	159	214	upstream-V14.9.6
서울역	1호선	경의중앙선		190	upstream-V14.9.6
시청	1호선	2호선	101	212	upstream-V14.9.6
종로3가	1호선	3호선	118	161	upstream-V14.9.6
종로3가	1호선	5호선	312	326	upstream-V14.9.6
동대문	1호선	4호선	194	263	upstream-V14.9.6
동묘앞	1호선	6호선	96	180	upstream-V14.9.6
신설동	1호선	2호선	159	187	upstream-V14.9.6
청량리	1호선	경의중앙선	165	180	upstream-V14.9.6
청량리	1호선	수인분당선	180	150	upstream-V14.9.6
시청	2호선	1호선	101	212	upstream-V14.9.6
을지로3가	2호선	3호선	149	220	upstream-V14.9.6
을지로4가	2호선	5호선	77	179	upstream-V14.9.6
동대문역사문화공원	2호선	4호선	45	140	upstream-V14.9.6
동대문역사문화공원	2호선	5호선	234	144	upstream-V14.9.6
신당	2호선	6호선	242	241	upstream-V14.9.6
왕십리	2호선	수인분당선	99	420	upstream-V14.9.6
왕십리	2호선	5호선	86	224	upstream-V14.9.6
왕십리	2호선	경의중앙선	50	169	upstream-V14.9.6
건대입구	2호선	7호선	77	152	upstream-V14.9.6
잠실	2호선	8호선	190	158	upstream-V14.9.6
종합운동장	2호선	9호선	94	78	upstream-V14.9.6
선릉	2호선	수인분당선	81	300	upstream-V14.9.6
교대	2호선	3호선	75	144	upstream-V14.9.6
사당	2호선	4호선	74	136	upstream-V14.9.6
대림	2호선	7호선	276	245	upstream-V14.9.6
신도림	2호선	1호선	81	188	upstream-V14.9.6
영등포구청	2호선	5호선	110	259	upstream-V14.9.6
당산	2호선	9호선	105	600	upstream-V14.9.6
합정	2호선	6호선	82	161	upstream-V14.9.6
홍대입구	2호선	경의중앙선	305	600	upstream-V14.9.6
충정로	2호선	5호선	212	281	upstream-V14.9.6
신설동	2호선	1호선	159	187	upstream-V14.9.6
종로3가	3호선	1호선	118	161	upstream-V14.9.6
종로3가	3호선	5호선	117	176	upstream-V14.9.6
을지로3가	3호선	2호선	149	220	upstream-V14.9.6
교대	3호선	2호선	75	144	upstream-V14.9.6
연신내	3호선	6호선	181	242	upstream-V14.9.6
불광	3호선	6호선	100	230	upstream-V14.9.6
충무로	3호선	4호선	17	101	upstream-V14.9.6
약수	3호선	6호선	130	161	upstream-V14.9.6
옥수	3호선	경의중앙선	155	216	upstream-V14.9.6
고속터미널	3호선	7호선	169	262	upstream-V14.9.6
고속터미널	3호선	9호선	155	600	upstream-V14.9.6
도곡	3호선	수인분당선	78	300	upstream-V14.9.6
가락시장	3호선	8호선	35	89	upstream-V14.9.6
오금	3호선	5호선	65	89	upstream-V14.9.6
서울역	4호선	1호선	159	214	upstream-V14.9.6
서울역	4호선	경의중앙선		290	upstream-V14.9.6
동대문	4호선	1호선	194	263	upstream-V14.9.6
동대문역사문화공원	4호선	2호선	45	140	upstream-V14.9.6
동대문역사문화공원	4호선	5호선	107	154	upstream-V14.9.6
사당	4호선	2호선	74	136	upstream-V14.9.6
충무로	4호선	3호선	17	101	upstream-V14.9.6
노원	4호선	7호선	278	393	upstream-V14.9.6
창동	4호선	1호선	84	133	upstream-V14.9.6
이촌	4호선	경의중앙선	78	111	upstream-V14.9.6
삼각지	4호선	6호선	155	234	upstream-V14.9.6
동작	4호선	9호선	245	600	upstream-V14.9.6
총신대입구	4호선	7호선	171	171	upstream-V14.9.6
김포공항	5호선	9호선	106	600	upstream-V14.9.6
까치산	5호선	2호선	17	97	upstream-V14.9.6
영등포구청	5호선	2호선	110	259	upstream-V14.9.6
신길	5호선	1호선	242	391	upstream-V14.9.6
여의도	5호선	9호선	68	600	upstream-V14.9.6
공덕	5호선	6호선	73	174	upstream-V14.9.6
공덕	5호선	경의중앙선	214	600	upstream-V14.9.6
충정로	5호선	2호선	212	281	upstream-V14.9.6
종로3가	5호선	1호선	312	326	upstream-V14.9.6
종로3가	5호선	3호선	117	176	upstream-V14.9.6
